01 01 2017,  0.00 ,  6.64
02 01 2017,  0.00 ,  13.43
03 01 2017,  0.00 ,  6.13
04 01 2017,  0.00 ,  6.31
05 01 2017,  0.00 ,  4.70
06 01 2017,  0.00 ,  12.57
07 01 2017,  0.00 ,  14.52
08 01 2017,  0.00 ,  9.64
09 01 2017,  0.00 ,  8.86
10 01 2017,  0.00 ,  6.41
11 01 2017,  0.00 ,  5.38
12 01 2017,  0.00 ,  4.23
13 01 2017,  0.00 ,  8.35
14 01 2017,  0.00 ,  6.16
15 01 2017,  0.00 ,  6.81
16 01 2017,  0.00 ,  8.20
17 01 2017,  0.00 ,  10.08
18 01 2017,  0.00 ,  5.89
19 01 2017,  0.00 ,  4.01
20 01 2017,  0.00 ,  3.96
21 01 2017,  0.00 ,  4.27
22 01 2017,  0.00 ,  2.85
23 01 2017,  0.00 ,  8.27
24 01 2017,  0.00 ,  8.10
25 01 2017,  0.00 ,  7.46
26 01 2017,  0.00 ,  5.85
27 01 2017,  0.00 ,  2.94
28 01 2017,  0.00 ,  3.80
29 01 2017,  0.00 ,  3.11
30 01 2017,  0.00 ,  2.42
31 01 2017,  0.00 ,  4.95
01 02 2017,  0.00 ,  3.66
02 02 2017,  0.00 ,  4.73
03 02 2017,  0.00 ,  2.43
04 02 2017,  0.00 ,  4.58
05 02 2017,  0.00 ,  15.49
06 02 2017,  0.00 ,  6.82
07 02 2017,  0.00 ,  6.60
08 02 2017,  0.00 ,  1.59
09 02 2017,  0.00 ,  2.33
10 02 2017,  0.00 ,  4.98
11 02 2017,  0.00 ,  5.97
12 02 2017,  0.00 ,  4.02
13 02 2017,  0.00 ,  6.26
14 02 2017,  0.00 ,  4.87
15 02 2017,  0.00 ,  5.73
16 02 2017,  0.00 ,  3.54
17 02 2017,  0.00 ,  3.92
18 02 2017,  0.00 ,  7.30
19 02 2017,  0.00 ,  11.57
20 02 2017,  0.00 ,  8.20
21 02 2017,  0.00 ,  6.52
22 02 2017,  0.00 ,  9.22
23 02 2017,  0.00 ,  10.53
24 02 2017,  0.00 ,  7.05
25 02 2017,  0.00 ,  17.50
26 02 2017,  8.07 ,  6.81
27 02 2017,  0.00 ,  8.17
28 02 2017,  0.00 ,  8.50
01 03 2017,  0.00 ,  7.54
02 03 2017,  0.00 ,  10.60
03 03 2017,  0.00 ,  8.52
04 03 2017,  0.00 ,  16.38
05 03 2017,  0.00 ,  6.18
06 03 2017,  0.00 ,  6.37
07 03 2017,  0.00 ,  6.37
08 03 2017,  0.00 ,  8.55
09 03 2017,  0.00 ,  5.87
10 03 2017,  0.00 ,  8.01
11 03 2017,  0.00 ,  8.53
12 03 2017,  0.00 ,  3.93
13 03 2017,  0.00 ,  5.19
14 03 2017,  0.00 ,  9.12
15 03 2017,  0.00 ,  8.59
16 03 2017,  0.00 ,  7.82
17 03 2017,  0.00 ,  11.26
18 03 2017,  18.41 ,  11.54
19 03 2017,  0.00 ,  10.87
20 03 2017,  0.00 ,  12.17
21 03 2017,  0.00 ,  6.89
22 03 2017,  0.00 ,  10.25
23 03 2017,  0.00 ,  9.73
24 03 2017,  0.00 ,  11.57
25 03 2017,  0.00 ,  15.79
26 03 2017,  0.00 ,  5.10
27 03 2017,  0.00 ,  7.26
28 03 2017,  0.00 ,  5.47
29 03 2017,  2.90 ,  5.76
30 03 2017,  0.00 ,  8.15
31 03 2017,  0.00 ,  5.10
01 04 2017,  0.00 ,  4.93
02 04 2017,  0.00 ,  4.78
03 04 2017,  0.00 ,  13.41
04 04 2017,  0.00 ,  13.26
05 04 2017,  0.00 ,  5.71
06 04 2017,  0.00 ,  5.78
07 04 2017,  0.00 ,  8.65
08 04 2017,  0.00 ,  16.81
09 04 2017,  0.00 ,  13.24
10 04 2017,  0.00 ,  15.67
11 04 2017,  0.00 ,  13.36
12 04 2017,  3.99 ,  13.64
13 04 2017,  0.00 ,  8.05
14 04 2017,  0.00 ,  11.75
15 04 2017,  0.00 ,  10.08
16 04 2017,  5.17 ,  8.85
17 04 2017,  0.00 ,  13.05
18 04 2017,  0.00 ,  18.44
19 04 2017,  0.00 ,  17.88
20 04 2017,  0.69 ,  10.38
21 04 2017,  0.00 ,  7.62
22 04 2017,  0.00 ,  15.35
23 04 2017,  0.00 ,  15.59
24 04 2017,  0.00 ,  18.97
25 04 2017,  0.00 ,  10.36
26 04 2017,  34.77 ,  8.92
27 04 2017,  0.00 ,  9.15
28 04 2017,  0.00 ,  9.37
29 04 2017,  0.00 ,  11.80
30 04 2017,  0.00 ,  16.08
01 05 2017,  0.00 ,  12.19
02 05 2017,  0.00 ,  18.70
03 05 2017,  0.00 ,  16.25
04 05 2017,  0.00 ,  15.24
05 05 2017,  0.00 ,  18.10
06 05 2017,  0.00 ,  7.83
07 05 2017,  0.00 ,  9.63
08 05 2017,  0.00 ,  17.56
09 05 2017,  0.00 ,  22.00
10 05 2017,  0.00 ,  21.93
11 05 2017,  0.00 ,  13.97
12 05 2017,  0.41 ,  11.21
13 05 2017,  0.00 ,  17.67
14 05 2017,  13.10 ,  17.90
15 05 2017,  0.00 ,  19.72
16 05 2017,  0.00 ,  21.47
17 05 2017,  0.00 ,  21.24
18 05 2017,  0.00 ,  22.63
19 05 2017,  0.10 ,  16.27
20 05 2017,  0.33 ,  27.49
21 05 2017,  0.00 ,  24.30
22 05 2017,  22.29 ,  24.93
23 05 2017,  0.00 ,  11.56
24 05 2017,  0.00 ,  12.00
25 05 2017,  0.00 ,  17.27
26 05 2017,  48.69 ,  19.68
27 05 2017,  0.00 ,  16.99
28 05 2017,  101.76 ,  23.45
29 05 2017,  0.00 ,  10.38
30 05 2017,  0.00 ,  16.91
31 05 2017,  261.94 ,  24.41
01 06 2017,  157.57 ,  25.72
02 06 2017,  0.00 ,  19.10
03 06 2017,  24.91 ,  18.97
04 06 2017,  0.00 ,  11.46
05 06 2017,  0.00 ,  11.84
06 06 2017,  0.00 ,  14.77
07 06 2017,  0.00 ,  24.41
08 06 2017,  0.00 ,  30.92
09 06 2017,  0.00 ,  29.48
10 06 2017,  0.00 ,  28.76
11 06 2017,  0.00 ,  35.10
12 06 2017,  0.00 ,  22.20
13 06 2017,  50.00 ,  18.62
14 06 2017,  35.15 ,  33.87
15 06 2017,  0.00 ,  28.76
16 06 2017,  85.68 ,  20.73
17 06 2017,  73.87 ,  17.27
18 06 2017,  152.05 ,  20.16
19 06 2017,  223.82 ,  19.75
20 06 2017,  2.03 ,  20.95
21 06 2017,  0.09 ,  23.42
22 06 2017,  176.01 ,  30.80
23 06 2017,  0.00 ,  14.88
24 06 2017,  146.79 ,  23.21
25 06 2017,  0.00 ,  16.77
26 06 2017,  0.00 ,  27.88
27 06 2017,  0.35 ,  28.60
28 06 2017,  0.00 ,  23.25
29 06 2017,  774.88 ,  28.12
30 06 2017,  0.00 ,  29.51
01 07 2017,  0.00 ,  31.63
02 07 2017,  0.00 ,  30.97
03 07 2017,  0.00 ,  30.71
04 07 2017,  0.00 ,  28.43
05 07 2017,  0.00 ,  32.99
06 07 2017,  0.00 ,  18.43
07 07 2017,  0.00 ,  21.85
08 07 2017,  86.21 ,  19.09
09 07 2017,  2.13 ,  19.06
10 07 2017,  0.00 ,  19.21
11 07 2017,  120.41 ,  24.59
12 07 2017,  0.00 ,  17.85
13 07 2017,  0.00 ,  20.18
14 07 2017,  0.00 ,  23.23
15 07 2017,  0.00 ,  21.73
16 07 2017,  2.52 ,  25.05
17 07 2017,  139.13 ,  24.38
18 07 2017,  68.02 ,  28.15
19 07 2017,  0.00 ,  35.69
20 07 2017,  0.00 ,  29.57
21 07 2017,  0.00 ,  34.75
22 07 2017,  0.00 ,  18.25
23 07 2017,  0.00 ,  23.15
24 07 2017,  0.00 ,  25.82
25 07 2017,  0.00 ,  25.72
26 07 2017,  286.44 ,  31.07
27 07 2017,  83.79 ,  33.09
28 07 2017,  0.00 ,  23.13
