 21 05 2017,  0.00 ,  21.37
 22 05 2017,  46.04 ,  21.75
 23 05 2017,  0.00 ,  9.49
 24 05 2017,  0.00 ,  15.28
 25 05 2017,  33.30 ,  15.79
 26 05 2017,  17.66 ,  15.44
 27 05 2017,  0.00 ,  15.06
 28 05 2017,  0.00 ,  10.89
 29 05 2017,  0.00 ,  10.90
 30 05 2017,  0.00 ,  14.85
 31 05 2017,  221.38 ,  23.24
 01 06 2017,  4.13 ,  23.76
 02 06 2017,  15.68 ,  13.81
 03 06 2017,  0.00 ,  9.81
 04 06 2017,  0.00 ,  9.33
 05 06 2017,  0.00 ,  12.96
 06 06 2017,  0.00 ,  17.87
 07 06 2017,  0.00 ,  18.12
 08 06 2017,  0.00 ,  19.62
 09 06 2017,  0.00 ,  33.08
 10 06 2017,  0.00 ,  29.89
 11 06 2017,  0.00 ,  25.37
 12 06 2017,  8.30 ,  17.39
 13 06 2017,  8.13 ,  22.91
 14 06 2017,  72.44 ,  23.52
 15 06 2017,  77.32 ,  17.28
 16 06 2017,  100.17 ,  16.04
 17 06 2017,  159.31 ,  17.35
 18 06 2017,  259.71 ,  17.11
 19 06 2017,  423.17 ,  20.86
 20 06 2017,  123.49 ,  20.94
 21 06 2017,  353.73 ,  27.32
 22 06 2017,  385.03 ,  17.76
 23 06 2017,  158.91 ,  18.80
 24 06 2017,  238.18 ,  29.91
 25 06 2017,  48.58 ,  19.84
 26 06 2017,  0.00 ,  21.86
 27 06 2017,  0.00 ,  16.71
 28 06 2017,  123.13 ,  22.69
 29 06 2017,  487.90 ,  26.41
 30 06 2017,  96.11 ,  30.90
 01 07 2017,  0.00 ,  24.29
 02 07 2017,  552.82 ,  26.79
 03 07 2017,  0.00 ,  23.11
 04 07 2017,  26.67 ,  26.68
 05 07 2017,  57.77 ,  15.41
 06 07 2017,  0.00 ,  12.88
 07 07 2017,  15.79 ,  25.54
 08 07 2017,  124.00 ,  13.63
 09 07 2017,  151.43 ,  13.97
 10 07 2017,  132.49 ,  18.20
 11 07 2017,  23.91 ,  17.73
 12 07 2017,  0.00 ,  15.40
 13 07 2017,  0.00 ,  16.45
 14 07 2017,  49.30 ,  21.39
 15 07 2017,  46.01 ,  21.63
 16 07 2017,  0.00 ,  21.43
 17 07 2017,  303.80 ,  18.32
 18 07 2017,  0.00 ,  23.23
 19 07 2017,  33.60 ,  20.60
 20 07 2017,  176.43 ,  21.22
 21 07 2017,  87.44 ,  30.42
 22 07 2017,  0.00 ,  20.89
 23 07 2017,  0.07 ,  26.28
 24 07 2017,  21.33 ,  23.29
 25 07 2017,  0.00 ,  23.31
 26 07 2017,  158.19 ,  24.06
 27 07 2017,  76.99 ,  22.77
 28 07 2017,  0.00 ,  20.44
 29 07 2017,  677.12 ,  27.68
 30 07 2017,  0.00 ,  27.41
 31 07 2017,  0.00 ,  30.15
 01 08 2017,  0.00 ,  24.70
 02 08 2017,  0.00 ,  23.67
 03 08 2017,  0.00 ,  23.21
 04 08 2017,  0.00 ,  20.93
 05 08 2017,  287.39 ,  34.00
 06 08 2017,  0.00 ,  28.78
 07 08 2017,  818.02 ,  32.94
 08 08 2017,  146.08 ,  21.37
 09 08 2017,  62.08 ,  29.49
 10 08 2017,  0.00 ,  17.02
 11 08 2017,  0.00 ,  17.73
 12 08 2017,  0.00 ,  22.40
 13 08 2017,  0.00 ,  21.59
 14 08 2017,  0.00 ,  17.78
 15 08 2017,  0.00 ,  17.80
 16 08 2017,  54.72 ,  19.46
 17 08 2017,  155.99 ,  17.51
 18 08 2017,  633.30 ,  20.38
 19 08 2017,  177.66 ,  21.10
 20 08 2017,  190.25 ,  23.29
 21 08 2017,  63.31 ,  18.85
 22 08 2017,  0.00 ,  16.96
 23 08 2017,  0.00 ,  23.50
 24 08 2017,  0.00 ,  18.87
 25 08 2017,  0.00 ,  16.90
 27 08 2017,  0.00 ,  19.93
 28 08 2017,  26.93 ,  21.31
 29 08 2017,  461.15 ,  21.60
 30 08 2017,  36.58 ,  29.85
 31 08 2017,  150.15 ,  37.59
 01 09 2017,  0.00 ,  23.25
 02 09 2017,  54.84 ,  24.14
 03 09 2017,  25.72 ,  23.73
 04 09 2017,  0.00 ,  18.55
 05 09 2017,  0.00 ,  25.10
 06 09 2017,  372.03 ,  25.52
 07 09 2017,  0.00 ,  33.62
 08 09 2017,  130.82 ,  27.30
 09 09 2017,  0.00 ,  16.29
 10 09 2017,  0.00 ,  16.34
 11 09 2017,  0.00 ,  18.40
 12 09 2017,  0.00 ,  22.42
 13 09 2017,  0.00 ,  18.78
 14 09 2017,  50.08 ,  22.08
 15 09 2017,  0.00 ,  17.29
 16 09 2017,  27.13 ,  24.69
 17 09 2017,  0.00 ,  19.85
 18 09 2017,  0.00 ,  20.63
 19 09 2017,  0.00 ,  17.49
 20 09 2017,  1314.64 ,  24.83
 21 09 2017,  12.16 ,  19.90
 22 09 2017,  0.00 ,  17.05
 23 09 2017,  0.00 ,  11.73
 24 09 2017,  0.00 ,  13.74
 25 09 2017,  0.00 ,  10.62
 26 09 2017,  0.00 ,  8.88
 27 09 2017,  8.99 ,  9.84
 28 09 2017,  0.00 ,  9.15
 29 09 2017,  11.14 ,  12.16
 30 09 2017,  0.00 ,  10.91
 01 10 2017,  0.00 ,  11.43
 02 10 2017,  12.10 ,  9.53
 04 10 2017,  0.00 ,  7.86
 05 10 2017,  0.00 ,  10.90
 06 10 2017,  5.94 ,  22.47
 07 10 2017,  0.00 ,  16.42
 08 10 2017,  0.00 ,  15.43
 09 10 2017,  0.00 ,  14.79
 10 10 2017,  0.00 ,  23.46
 11 10 2017,  0.00 ,  12.27
 12 10 2017,  46.19 ,  14.86
 13 10 2017,  0.00 ,  22.94
 14 10 2017,  55.92 ,  15.31
 15 10 2017,  30.60 ,  11.58
 16 10 2017,  16.02 ,  12.50
 17 10 2017,  0.00 ,  12.66
 18 10 2017,  0.00 ,  17.16
 19 10 2017,  0.00 ,  18.35
 20 10 2017,  0.00 ,  19.65
 21 10 2017,  0.00 ,  13.57
 22 10 2017,  0.00 ,  15.54
 23 10 2017,  3.98 ,  8.00
 24 10 2017,  11.23 ,  10.10
 25 10 2017,  0.00 ,  16.44
 26 10 2017,  0.85 ,  9.12
 27 10 2017,  0.00 ,  12.49
 28 10 2017,  1.50 ,  18.71
 29 10 2017,  1.61 ,  20.59
 30 10 2017,  0.00 ,  20.92
 31 10 2017,  14.81 ,  7.65
 01 11 2017,  0.00 ,  9.12
 02 11 2017,  0.00 ,  12.86
 03 11 2017,  0.00 ,  19.89
 04 11 2017,  0.00 ,  15.07
 05 11 2017,  0.00 ,  9.84
 06 11 2017,  0.02 ,  10.38
 07 11 2017,  0.00 ,  10.22
 08 11 2017,  0.00 ,  9.93
 09 11 2017,  0.00 ,  9.66
 10 11 2017,  0.00 ,  11.09
 11 11 2017,  0.00 ,  13.14
 12 11 2017,  0.00 ,  14.77
 13 11 2017,  0.00 ,  13.48
 14 11 2017,  0.00 ,  14.67
 15 11 2017,  0.00 ,  19.40
 16 11 2017,  0.00 ,  7.35
 17 11 2017,  0.00 ,  5.92
 18 11 2017,  0.00 ,  6.15
 19 11 2017,  0.00 ,  16.05
 20 11 2017,  0.00 ,  14.72
 21 11 2017,  0.00 ,  12.44
 22 11 2017,  0.00 ,  10.64
 23 11 2017,  0.00 ,  5.98
 24 11 2017,  0.85 ,  6.76
 25 11 2017,  0.68 ,  5.64
 26 11 2017,  0.00 ,  7.73
 27 11 2017,  0.00 ,  5.63
 28 11 2017,  0.00 ,  6.60
 29 11 2017,  0.00 ,  6.86
 30 11 2017,  0.00 ,  7.29
 01 12 2017,  0.00 ,  7.92
 02 12 2017,  0.00 ,  9.77
 03 12 2017,  0.00 ,  12.42
 04 12 2017,  0.00 ,  16.78
 05 12 2017,  0.00 ,  15.90
 06 12 2017,  27.81 ,  7.79
 07 12 2017,  11.80 ,  5.93
 08 12 2017,  0.00 ,  4.54
 09 12 2017,  0.00 ,  6.76
 10 12 2017,  0.00 ,  11.48
 11 12 2017,  0.00 ,  6.52
 12 12 2017,  0.00 ,  16.77
 13 12 2017,  0.00 ,  15.96
 14 12 2017,  0.06 ,  12.29
 15 12 2017,  0.00 ,  14.35
 16 12 2017,  0.00 ,  11.72
 17 12 2017,  0.00 ,  10.73
 18 12 2017,  0.00 ,  11.93
 19 12 2017,  0.00 ,  18.28
 20 12 2017,  0.00 ,  14.32
 21 12 2017,  0.00 ,  10.41
 22 12 2017,  0.00 ,  5.98
 23 12 2017,  0.00 ,  7.45
 24 12 2017,  0.00 ,  7.04
 25 12 2017,  0.00 ,  6.13
 26 12 2017,  0.00 ,  8.14
 27 12 2017,  0.00 ,  11.89
 28 12 2017,  0.00 ,  10.01
 29 12 2017,  0.00 ,  11.51
 30 12 2017,  0.00 ,  5.80
 31 12 2017,  0.00 ,  14.95
