 00Z 28 02 2017,  0.00 ,  8.50
 12Z 28 02 2017,  11.98 ,  8.03
 00Z 01 03 2017,  0.00 ,  7.54
 12Z 01 03 2017,  0.00 ,  9.35
 00Z 02 03 2017,  0.00 ,  10.60
 12Z 02 03 2017,  0.00 ,  8.69
 00Z 03 03 2017,  0.00 ,  8.52
 12Z 03 03 2017,  0.00 ,  12.88
 00Z 04 03 2017,  0.00 ,  16.38
 12Z 04 03 2017,  0.00 ,  10.69
 00Z 05 03 2017,  0.00 ,  6.18
 12Z 05 03 2017,  0.00 ,  6.77
 00Z 06 03 2017,  0.00 ,  6.37
 12Z 06 03 2017,  0.00 ,  5.14
 00Z 07 03 2017,  0.00 ,  6.37
 12Z 07 03 2017,  0.00 ,  6.69
 00Z 08 03 2017,  0.00 ,  8.55
 12Z 08 03 2017,  0.00 ,  5.88
 00Z 09 03 2017,  0.00 ,  5.87
 12Z 09 03 2017,  0.00 ,  5.73
 00Z 10 03 2017,  0.00 ,  8.01
 12Z 10 03 2017,  0.00 ,  8.00
 00Z 11 03 2017,  0.00 ,  8.53
 00Z 12 03 2017,  0.00 ,  3.93
 12Z 12 03 2017,  0.00 ,  6.11
 00Z 13 03 2017,  0.00 ,  5.19
 12Z 13 03 2017,  0.00 ,  7.41
 00Z 14 03 2017,  0.00 ,  9.12
 12Z 14 03 2017,  0.00 ,  11.30
 00Z 15 03 2017,  0.00 ,  8.59
 12Z 15 03 2017,  0.00 ,  8.81
 00Z 16 03 2017,  0.00 ,  7.82
 12Z 16 03 2017,  0.00 ,  8.54
 00Z 17 03 2017,  0.00 ,  11.26
 12Z 17 03 2017,  3.75 ,  9.40
 00Z 18 03 2017,  18.41 ,  11.54
 12Z 18 03 2017,  18.28 ,  9.69
 00Z 19 03 2017,  0.00 ,  10.87
 12Z 19 03 2017,  0.00 ,  9.52
 00Z 20 03 2017,  0.00 ,  12.17
 12Z 20 03 2017,  0.00 ,  11.74
 00Z 21 03 2017,  0.00 ,  6.89
 12Z 21 03 2017,  0.00 ,  11.54
 00Z 22 03 2017,  0.00 ,  10.25
 12Z 22 03 2017,  0.00 ,  11.71
 00Z 23 03 2017,  0.00 ,  9.73
 12Z 23 03 2017,  0.45 ,  8.30
 00Z 24 03 2017,  0.00 ,  11.57
 12Z 24 03 2017,  0.00 ,  13.10
 00Z 25 03 2017,  0.00 ,  15.79
 12Z 25 03 2017,  0.10 ,  9.71
 00Z 26 03 2017,  0.00 ,  5.10
 12Z 26 03 2017,  20.80 ,  5.06
 00Z 27 03 2017,  0.00 ,  7.26
 12Z 27 03 2017,  0.00 ,  8.82
 00Z 28 03 2017,  0.00 ,  5.47
 12Z 28 03 2017,  0.00 ,  10.36
 00Z 29 03 2017,  2.90 ,  5.76
 12Z 29 03 2017,  46.10 ,  5.52
 00Z 30 03 2017,  0.00 ,  8.15
 12Z 30 03 2017,  0.00 ,  10.90
 00Z 31 03 2017,  0.00 ,  5.10
 12Z 31 03 2017,  0.00 ,  2.84
 00Z 01 04 2017,  0.00 ,  4.93
 12Z 01 04 2017,  35.43 ,  7.42
 00Z 02 04 2017,  0.00 ,  4.78
 12Z 02 04 2017,  0.00 ,  6.29
 00Z 03 04 2017,  0.00 ,  13.41
 12Z 03 04 2017,  0.00 ,  13.48
 00Z 04 04 2017,  0.00 ,  13.26
 12Z 04 04 2017,  0.00 ,  15.33
 00Z 05 04 2017,  0.00 ,  5.71
 12Z 05 04 2017,  0.00 ,  5.51
 00Z 06 04 2017,  0.00 ,  5.78
 12Z 06 04 2017,  0.00 ,  9.01
 00Z 07 04 2017,  0.00 ,  8.65
 12Z 07 04 2017,  0.00 ,  11.93
